customer_name,email,total_orders,total_spent
Arjun Rao,arjun.rao@gmail.com,4,165996.00
Divya Menon,divya.menon@gmail.com,2,139998.00
Karthik Nair,karthik.nair@yahoo.com,4,115196.00
Priya Patel,priya.patel@yahoo.com,4,103994.00
Rahul Sharma,rahul.sharma@gmail.com,2,91998.00
Rajesh Kumar,rajesh.kumar@gmail.com,4,73190.00
Anjali Mehta,anjali.mehta@gmail.com,4,35196.00
Neha Shah,neha.shah@gmail.com,4,11192.00
Swati Desai,swati.desai@gmail.com,2,10998.00
Suresh Patel,suresh.patel@outlook.com,4,10696.00
Manish Joshi,manish.joshi@yahoo.com,4,9714.00
Deepa Gupta,deepa.gupta@gmail.com,2,8990.00
Arun Pillai,arun.pillai@outlook.com,4,8396.00
Sneha Reddy,sneha.reddy@gmail.com,2,6500.00
